Age,Weight(kg),Height(cm),Gender,BMI,BMI_Index,Basal_Metabolic_Rate(BMR)
60,47,176,Male,15.17303719,Underweight,1275
60,47,176,Male,15.17303719,Underweight,1275
60,47,176,Male,15.17303719,Underweight,1275
60,47,176,Male,15.17303719,Underweight,1530
60,47,176,Male,15.17303719,Underweight,1530
60,47,176,Male,15.17303719,Underweight,1530
60,47,176,Male,15.17303719,Underweight,1753
60,47,176,Male,15.17303719,Underweight,1753
60,47,176,Male,15.17303719,Underweight,1753
60,47,176,Male,15.17303719,Underweight,1976
60,47,176,Male,15.17303719,Underweight,1976
60,47,176,Male,15.17303719,Underweight,1976
60,47,176,Male,15.17303719,Underweight,2199
60,47,176,Male,15.17303719,Underweight,2199
60,47,176,Male,15.17303719,Underweight,2199
60,47,176,Male,15.17303719,Underweight,2422
60,47,176,Male,15.17303719,Underweight,2422
60,47,176,Male,15.17303719,Underweight,2422
22,118,177,Female,37.66478343,Obeise,2015
22,118,177,Female,37.66478343,Obeise,2015
22,118,177,Female,37.66478343,Obeise,2015
22,118,177,Female,37.66478343,Obeise,2418
22,118,177,Female,37.66478343,Obeise,2418
22,118,177,Female,37.66478343,Obeise,2418
22,118,177,Female,37.66478343,Obeise,2770
22,118,177,Female,37.66478343,Obeise,2770
22,118,177,Female,37.66478343,Obeise,2770
22,118,177,Female,37.66478343,Obeise,3123
22,118,177,Female,37.66478343,Obeise,3123
22,118,177,Female,37.66478343,Obeise,3123
22,118,177,Female,37.66478343,Obeise,3476
22,118,177,Female,37.66478343,Obeise,3476
22,118,177,Female,37.66478343,Obeise,3476
22,118,177,Female,37.66478343,Obeise,3828
22,118,177,Female,37.66478343,Obeise,3828
22,118,177,Female,37.66478343,Obeise,3828
25,113,214,Male,24.67464407,Normal,2347
25,113,214,Male,24.67464407,Normal,2347
25,113,214,Male,24.67464407,Normal,2347
25,113,214,Male,24.67464407,Normal,2817
25,113,214,Male,24.67464407,Normal,2817
25,113,214,Male,24.67464407,Normal,2817
25,113,214,Male,24.67464407,Normal,3227
25,113,214,Male,24.67464407,Normal,3227
25,113,214,Male,24.67464407,Normal,3227
25,113,214,Male,24.67464407,Normal,3638
25,113,214,Male,24.67464407,Normal,3638
25,113,214,Male,24.67464407,Normal,3638
25,113,214,Male,24.67464407,Normal,4049
25,113,214,Male,24.67464407,Normal,4049
25,113,214,Male,24.67464407,Normal,4049
25,113,214,Male,24.67464407,Normal,4460
25,113,214,Male,24.67464407,Normal,4460
25,113,214,Male,24.67464407,Normal,4460
24,47,204,Female,11.29373318,Underweight,1464
24,47,204,Female,11.29373318,Underweight,1464
24,47,204,Female,11.29373318,Underweight,1464
24,47,204,Female,11.29373318,Underweight,1756
24,47,204,Female,11.29373318,Underweight,1756
24,47,204,Female,11.29373318,Underweight,1756
24,47,204,Female,11.29373318,Underweight,2013
24,47,204,Female,11.29373318,Underweight,2013
24,47,204,Female,11.29373318,Underweight,2013
24,47,204,Female,11.29373318,Underweight,2269
24,47,204,Female,11.29373318,Underweight,2269
24,47,204,Female,11.29373318,Underweight,2269
24,47,204,Female,11.29373318,Underweight,2525
24,47,204,Female,11.29373318,Underweight,2525
24,47,204,Female,11.29373318,Underweight,2525
24,47,204,Female,11.29373318,Underweight,2781
24,47,204,Female,11.29373318,Underweight,2781
24,47,204,Female,11.29373318,Underweight,2781
17,45,185,Male,13.14828342,Underweight,1526
17,45,185,Male,13.14828342,Underweight,1526
17,45,185,Male,13.14828342,Underweight,1526
17,45,185,Male,13.14828342,Underweight,1831
17,45,185,Male,13.14828342,Underweight,1831
17,45,185,Male,13.14828342,Underweight,1831
17,45,185,Male,13.14828342,Underweight,2098
17,45,185,Male,13.14828342,Underweight,2098
17,45,185,Male,13.14828342,Underweight,2098
17,45,185,Male,13.14828342,Underweight,2365
17,45,185,Male,13.14828342,Underweight,2365
17,45,185,Male,13.14828342,Underweight,2365
17,45,185,Male,13.14828342,Underweight,2632
17,45,185,Male,13.14828342,Underweight,2632
17,45,185,Male,13.14828342,Underweight,2632
17,45,185,Male,13.14828342,Underweight,2899
17,45,185,Male,13.14828342,Underweight,2899
17,45,185,Male,13.14828342,Underweight,2899
24,97,164,Female,36.06484236,Obeise,1714
24,97,164,Female,36.06484236,Obeise,1714
24,97,164,Female,36.06484236,Obeise,1714
24,97,164,Female,36.06484236,Obeise,2056
24,97,164,Female,36.06484236,Obeise,2056
24,97,164,Female,36.06484236,Obeise,2056
24,97,164,Female,36.06484236,Obeise,2356
24,97,164,Female,36.06484236,Obeise,2356
24,97,164,Female,36.06484236,Obeise,2356
24,97,164,Female,36.06484236,Obeise,2656
24,97,164,Female,36.06484236,Obeise,2656
24,97,164,Female,36.06484236,Obeise,2656
24,97,164,Female,36.06484236,Obeise,2956
24,97,164,Female,36.06484236,Obeise,2956
24,97,164,Female,36.06484236,Obeise,2956
24,97,164,Female,36.06484236,Obeise,3256
24,97,164,Female,36.06484236,Obeise,3256
24,97,164,Female,36.06484236,Obeise,3256
45,115,172,Male,38.87236344,Obeise,2005
45,115,172,Male,38.87236344,Obeise,2005
45,115,172,Male,38.87236344,Obeise,2005
45,115,172,Male,38.87236344,Obeise,2406
45,115,172,Male,38.87236344,Obeise,2406
45,115,172,Male,38.87236344,Obeise,2406
45,115,172,Male,38.87236344,Obeise,2756
45,115,172,Male,38.87236344,Obeise,2756
45,115,172,Male,38.87236344,Obeise,2756
45,115,172,Male,38.87236344,Obeise,3107
45,115,172,Male,38.87236344,Obeise,3107
45,115,172,Male,38.87236344,Obeise,3107
45,115,172,Male,38.87236344,Obeise,3458
45,115,172,Male,38.87236344,Obeise,3458
45,115,172,Male,38.87236344,Obeise,3458
45,115,172,Male,38.87236344,Obeise,3809
45,115,172,Male,38.87236344,Obeise,3809
45,115,172,Male,38.87236344,Obeise,3809
41,51,152,Female,22.07409972,Normal,1094
41,51,152,Female,22.07409972,Normal,1094
41,51,152,Female,22.07409972,Normal,1094
41,51,152,Female,22.07409972,Normal,1312
41,51,152,Female,22.07409972,Normal,1312
41,51,152,Female,22.07409972,Normal,1312
41,51,152,Female,22.07409972,Normal,1504
41,51,152,Female,22.07409972,Normal,1504
41,51,152,Female,22.07409972,Normal,1504
41,51,152,Female,22.07409972,Normal,1695
41,51,152,Female,22.07409972,Normal,1695
41,51,152,Female,22.07409972,Normal,1695
41,51,152,Female,22.07409972,Normal,1887
41,51,152,Female,22.07409972,Normal,1887
41,51,152,Female,22.07409972,Normal,1887
41,51,152,Female,22.07409972,Normal,2078
41,51,152,Female,22.07409972,Normal,2078
41,51,152,Female,22.07409972,Normal,2078
15,72,191,Male,19.73630109,Normal,1843
15,72,191,Male,19.73630109,Normal,1843
15,72,191,Male,19.73630109,Normal,1843
15,72,191,Male,19.73630109,Normal,2212
15,72,191,Male,19.73630109,Normal,2212
15,72,191,Male,19.73630109,Normal,2212
15,72,191,Male,19.73630109,Normal,2535
15,72,191,Male,19.73630109,Normal,2535
15,72,191,Male,19.73630109,Normal,2535
15,72,191,Male,19.73630109,Normal,2857
15,72,191,Male,19.73630109,Normal,2857
15,72,191,Male,19.73630109,Normal,2857
15,72,191,Male,19.73630109,Normal,3180
15,72,191,Male,19.73630109,Normal,3180
15,72,191,Male,19.73630109,Normal,3180
15,72,191,Male,19.73630109,Normal,3503
15,72,191,Male,19.73630109,Normal,3503
15,72,191,Male,19.73630109,Normal,3503
42,51,170,Female,17.64705882,Underweight,1201
42,51,170,Female,17.64705882,Underweight,1201
42,51,170,Female,17.64705882,Underweight,1201
42,51,170,Female,17.64705882,Underweight,1441
42,51,170,Female,17.64705882,Underweight,1441
42,51,170,Female,17.64705882,Underweight,1441
42,51,170,Female,17.64705882,Underweight,1652
42,51,170,Female,17.64705882,Underweight,1652
42,51,170,Female,17.64705882,Underweight,1652
42,51,170,Female,17.64705882,Underweight,1862
42,51,170,Female,17.64705882,Underweight,1862
42,51,170,Female,17.64705882,Underweight,1862
42,51,170,Female,17.64705882,Underweight,2072
