Calories,NumberOfMeals,Breakfast,Lunch,Dinner,Snack,Snack2
1275,3,Honey Avocado Smoothie,Goat Cheese on Toasted Bread with Tomato,Chicken Celery Sticks,,
1275,4,"Spinach, Onion, Mushroom, and Bell Pepper Egg White Omelet",Guacamole on Tostada,Chocolate Almond Milk Protein Shake,High Potassium Fruit Salad,
1275,5,Egg White and Mushroom Omelet,Rice Cake with Strawberries and Honey,Tuna Mex Tuna Salad,Mixed Greens with Sun-Dried Tomato Dressing,Very Green Veggie Protein Smoothie
1530,3,Heuvos Rancheros,"Banana, Kiwi, and Yogurt Smoothie",Tuna Stuffed Pepper,,
1530,4,Guacamole Pizza,Yogurt & Strawberries,Chocolate Almond Milk Protein Shake,Tomato Basil Layered Salad,
1530,5,Banana Protein Pancakes,"Toast with Tomato, Onion, & Hummus",Banana Yogurt Protein Shake,Lebanese Fresh Thyme Tomato Salad,Chia Cottage Cheese with Blueberries
1753.12,3,Parsley and Tomato Scramble,Yogurt & Strawberries,Quick Avocado Tuna Sandwich,,
1753.12,4,Savory Cr?pes,Light Raspberry yogurt,Lime Chicken Salad,Carrots with Hummus,
1753.12,5,Avocado-egg Toast,Yogurt & Banana,Simple Lemon Pepper Tuna,Basic Tossed Salad,Grown-Up PB&J Toast
1976.25,3,Sausage and Egg White Scramble,"Strawberry, Peach, and Chia Smoothie",Tuna Salad,,
1976.25,4,"Kale, Peppers, Tomatoes, and Cashew Scramble",Toast with Tomato and Hummus,"ALT (Avocado, Lettuce, and Tomato) Sandwiches",Tuna in Cucumber Cups,
1976.25,5,"Turkey, Ham, and Avocado on Rye","Toast with Figs, Ricotta, & Sesame Seeds",Creamy Green Chia Smoothie,Lebanese Fresh Thyme Tomato Salad,Corn Tuna Salad
2199.38,3,Peanut Butter Raisin Oatmeal,Blueberry Yogurt,Spicy Tuna Salad,,
2199.38,4,Skinny Pancakes,Yogurt & Mango,Chocolate Banana Smoothie,Turkish Style Salad,
2199.38,5,Blueberry Almond Chia Pudding,Nonfat greek yogurt,Tuna Poke,Apples and Almond Butter,Prosciutto-Wrapped Pears with Blue Cheese
2422.5,3,"Bacon, Egg, and Tomato Club Sandwiches",Yogurt & Mango,Tropical Green Protein Smoothie,,
2422.5,4,Avocado and Cottage Cheese Toast,Yogurt & Strawberries,Mocha Berry Almond Smoothie,Green salad,
2422.5,5,Chocolate Peanut Butter Oatmeal Protein Shake,"Toast with Tomato, Onion, & Hummus",Simple Lemon Pepper Tuna,Summer Pepper and Tomato Salad,Greek Yogurt and Fruit Salad
2015.25,3,Homemade Turkey McMuffins,Apple Toast,Fruit yogurt smoothie,,
2015.25,4,Blueberry Protein Kale Smoothie,Cinnamon Sugar Toast with Sea Salt,Simple Ham and Lettuce Sandwich,Strawberries,
2015.25,5,Seedy Avocado Toast,Light Peach Yogurt,Strawberry Almond Trim Smoothie,Tuna in Cucumber Cups,Prosciutto-Wrapped Pears with Blue Cheese
